epoch,training_loss,validation_loss
1,9.015026807785034,6.473753452301025
2,5.579168522357941,5.068340301513672
3,4.432088816165924,4.399395942687988
4,3.744637358188629,3.7467691898345947
5,3.363936519622803,4.044028282165527
6,3.1673704981803894,3.333932399749756
7,3.0276595532894133,3.2708044052124023
8,2.6535530209541323,3.013162612915039
9,2.6465721845626833,2.922828435897827
10,2.5526883244514464,2.7352254390716553
11,2.264949494600296,2.697056293487549
12,2.149516797065735,2.4310004711151123
13,2.1039032101631165,2.3551650047302246
14,1.945132428407669,2.3308002948760986
15,1.8600133240222931,2.4827260971069336
16,1.760926976799965,2.25761079788208
17,1.777406644821167,2.255195379257202
18,1.678703987598419,2.2848219871520996
19,1.7693920642137528,2.2776131629943848
20,1.6809172868728637,2.2322628498077393
21,1.4883042812347411,2.1763176918029785
22,1.6101818710565567,2.113248109817505
23,1.4202719271183013,1.8882688283920288
24,1.4453124761581422,2.082792282104492
25,1.3247657984495163,2.2330615520477295
26,1.2533227115869523,2.0347988605499268
27,1.3055012434720994,1.984421730041504
28,1.2406884253025054,1.846333622932434
29,1.1301018327474595,1.752852439880371
30,1.1033584475517273,1.8207710981369019
